num_threads,run,real_time
1,1,3.04
1,2,4.20
1,3,3.39
1,4,3.02
1,5,2.83
1,6,2.63
1,7,2.80
1,8,3.37
1,9,2.83
1,10,2.65
2,1,1.35
2,2,1.30
2,3,1.32
2,4,1.31
2,5,1.31
2,6,1.31
2,7,1.33
2,8,1.30
2,9,1.32
2,10,1.31
3,1,0.90
3,2,0.91
3,3,0.91
3,4,0.90
3,5,0.90
3,6,1.00
3,7,1.02
3,8,1.04
3,9,1.10
3,10,1.02
4,1,0.85
4,2,0.86
4,3,0.95
4,4,0.88
4,5,1.26
4,6,1.07
4,7,1.05
4,8,0.87
4,9,0.88
4,10,0.95
5,1,0.79
5,2,0.78
5,3,0.76
5,4,0.76
5,5,0.77
5,6,0.77
5,7,0.76
5,8,0.76
5,9,0.77
5,10,0.77
6,1,0.71
6,2,0.72
6,3,0.72
6,4,0.73
6,5,0.77
6,6,0.81
6,7,0.74
6,8,0.75
6,9,0.73
6,10,0.74
7,1,0.69
7,2,0.73
7,3,0.70
7,4,0.69
7,5,0.70
7,6,0.76
7,7,0.75
7,8,0.80
7,9,0.68
7,10,0.71
8,1,0.70
8,2,0.68
8,3,0.66
8,4,0.69
8,5,0.63
8,6,0.72
8,7,0.77
8,8,0.72
8,9,0.68
8,10,0.67
9,1,0.63
9,2,0.64
9,3,0.64
9,4,0.70
9,5,0.69
9,6,0.65
9,7,0.74
9,8,0.66
9,9,0.67
9,10,0.67
10,1,0.69
10,2,0.65
10,3,0.67
10,4,0.66
10,5,0.65
10,6,0.65
10,7,0.63
10,8,0.71
10,9,0.67
10,10,0.63
