num_threads,run,real_time
1,1,5.72
1,2,5.36
1,3,5.19
1,4,5.11
1,5,5.11
1,6,5.12
1,7,5.06
1,8,5.10
1,9,5.19
1,10,5.07
2,1,3.83
2,2,3.81
2,3,3.85
2,4,3.87
2,5,3.80
2,6,3.85
2,7,3.85
2,8,3.83
2,9,3.82
2,10,3.97
3,1,4.07
3,2,3.46
3,3,3.43
3,4,3.40
3,5,3.42
3,6,3.40
3,7,3.43
3,8,3.42
3,9,3.47
3,10,3.45
4,1,3.18
4,2,3.19
4,3,3.19
4,4,3.22
4,5,3.19
4,6,3.16
4,7,3.20
4,8,3.22
4,9,3.18
4,10,3.20
5,1,3.23
5,2,3.22
5,3,3.27
5,4,3.24
5,5,3.24
5,6,3.22
5,7,3.27
5,8,3.26
5,9,3.24
5,10,3.24
6,1,3.16
6,2,3.15
6,3,3.13
6,4,3.10
6,5,3.19
6,6,3.12
6,7,3.16
6,8,3.17
6,9,3.13
6,10,3.17
7,1,3.10
7,2,3.10
7,3,3.08
7,4,3.05
7,5,3.11
7,6,3.11
7,7,3.10
7,8,3.07
7,9,3.08
7,10,3.06
8,1,3.07
8,2,3.02
8,3,3.02
8,4,3.04
8,5,3.00
8,6,3.07
8,7,3.06
8,8,3.02
8,9,3.03
8,10,3.04
9,1,3.09
9,2,3.12
9,3,3.10
9,4,3.09
9,5,3.10
9,6,3.08
9,7,3.10
9,8,3.09
9,9,3.11
9,10,3.15
10,1,3.06
10,2,3.08
10,3,3.09
10,4,3.05
10,5,3.13
10,6,3.05
10,7,3.16
10,8,3.78
10,9,4.05
10,10,3.67
