num_threads,run,real_time
1,1,6.45
1,2,6.52
1,3,6.72
1,4,6.67
1,5,6.41
1,6,6.49
1,7,6.48
1,8,6.56
1,9,6.39
1,10,6.38
2,1,4.53
2,2,4.63
2,3,4.74
2,4,4.80
2,5,4.64
2,6,4.57
2,7,4.58
2,8,4.61
2,9,4.58
2,10,4.78
3,1,4.00
3,2,4.04
3,3,3.96
3,4,3.94
3,5,3.96
3,6,4.00
3,7,4.05
3,8,4.15
3,9,4.09
3,10,3.94
4,1,3.74
4,2,3.72
4,3,3.70
4,4,3.68
4,5,3.76
4,6,3.70
4,7,3.87
4,8,3.76
4,9,3.75
4,10,3.99
5,1,3.93
5,2,3.97
5,3,3.99
5,4,3.97
5,5,3.90
5,6,3.92
5,7,3.94
5,8,4.01
5,9,3.94
5,10,4.48
6,1,4.08
6,2,4.02
6,3,4.12
6,4,4.36
6,5,4.29
6,6,5.51
6,7,4.01
6,8,3.87
6,9,3.89
6,10,3.94
7,1,3.99
7,2,3.92
7,3,4.12
7,4,3.88
7,5,3.96
7,6,4.54
7,7,5.55
7,8,4.75
7,9,5.23
7,10,7.45
8,1,6.52
8,2,4.40
8,3,4.15
8,4,4.28
8,5,4.67
8,6,4.46
8,7,4.63
8,8,4.49
8,9,4.14
8,10,3.90
9,1,4.10
9,2,4.12
9,3,4.01
9,4,4.18
9,5,3.96
9,6,4.31
9,7,3.90
9,8,4.59
9,9,4.00
9,10,4.35
10,1,4.63
10,2,4.31
10,3,3.88
10,4,3.86
10,5,3.80
10,6,3.92
10,7,3.91
10,8,3.85
10,9,3.86
10,10,3.86
